序号,发生日期,账户编号,账户名称,证券代码,证券名称,委托方向,持仓,最新价,市场成交均价,成交数量,成交金额,成交次数,成交最低价,成交最高价,成交均价,成交均价(全价),交易市场,市场成交数量,数量成交比例(%),市场成交金额,组合编号,组合名称,委托数量,市场最高价,市场最低价,委托次数,交易员,资产类别,涨跌幅(%),金额成交比例(%),价格差额比例(%),指令数量,资产单元序号,资产单元名称,交易币种,交易席位,投资类型,资产单元编号,股东代码,成交量占昨日持仓量(%),指令下达人,本币币种,本币成交金额,RIC,Bloomberg,CUSIP,SEDOL,ISIN,指令操作级别,账户组类型,账户组,成交金额占净值(%),券商编号,券商名称,业务分类,是否ETF补券,发生金额(全价),今开盘价,是否强平委托,代下达人,是否强平,价格类型,杂项分类,平仓盈亏,交易对手
3,2019/7/26,8302,期货项目2,IC1908,IC1908,买入平仓,1,4859.2,0,7,"6,748,640.00",7,"4,814.40","4,831.20",4820.46,"4,820.46",中金所,"53,533.00",0.013,"51,784,916,960.00",83023052,投机-策略2,7,"4,867.40","4,812.00",10,交易业务张政,期货盈亏,0.264,0.013,-99.502,0,599,量化交易,人民币,SEAT7,N/A,830230,N/A,87.5,,人民币,"6,748,640.00",,,,,,混合, , ,3.3717,,缺省券商,期货业务,,"-6,748,640.00","4,835.40",非强平,,,限价,,"23,440.00",
4,2019/7/26,8302,期货项目2,IC1909,IC1909,买入平仓,1,4805.8,0,1,"956,160.00",1,"4,780.80","4,780.80",4780.8,"4,780.80",中金所,"9,415.00",0.011,"9,010,360,920.00",83023052,投机-策略2,1,"4,811.20","4,762.20",1,交易业务张政,期货盈亏,0.225,0.011,-99.5,0,599,量化交易,人民币,SEAT7,N/A,830230,N/A,50,,人民币,"956,160.00",,,,,,混合, , ,0.4777,,缺省券商,期货业务,,"-956,160.00","4,785.00",非强平,,,限价,,720,
